generation,best_so_far,best_reached,gen_best,gen_mean,gen_median,sigma,stagnation,local_search_improved,immigrants,evals,cache_hits,gen_seconds,wall_s
174,126.4872685185185,6,126.4872685185185,36.16442675185066,21.49610826603466,0.26082149343708044,87,False,0,4059,351,109.75,18451.2
175,126.4872685185185,6,126.4872685185185,41.23574577148388,40.25852975230838,0.26082149343708044,88,False,0,4081,353,78.77,18530.0
176,126.4872685185185,6,126.4872685185185,28.424897843575888,13.046238372267707,0.26082149343708044,89,False,0,4103,355,75.18,18605.2
177,126.4872685185185,6,126.4872685185185,34.584224801278005,25.27523625086233,0.3,90,False,0,4125,357,73.87,18679.0
178,126.4872685185185,6,126.4872685185185,37.4372408754691,23.202406744066128,0.3,91,False,0,4147,359,86.31,18765.4
179,126.4872685185185,6,126.4872685185185,31.535398961368244,10.67042618839893,0.3,92,False,0,4175,361,103.53,18868.9
180,126.4872685185185,6,126.4872685185185,33.32919032648725,17.832680930317963,0.3,93,False,0,4197,363,68.94,18937.8
181,126.4872685185185,6,126.4872685185185,38.47334372934821,24.154180852972463,0.3,94,False,0,4218,366,77.79,19015.6
182,126.4872685185185,6,126.4872685185185,41.22027042236793,35.083038000731236,0.3,95,False,0,4240,368,75.14,19090.8
183,126.4872685185185,6,126.4872685185185,48.644348235240095,51.86847061012904,0.3,96,False,0,4262,370,90.49,19181.3
184,126.4872685185185,6,126.4872685185185,47.356416035686124,48.22021346739041,0.3,97,False,0,4290,372,121.13,19302.4
185,126.4872685185185,6,126.4872685185185,29.37921349411543,17.071829270670584,0.3,98,False,0,4312,374,76.91,19379.3
186,126.4872685185185,6,126.4872685185185,30.184089158104864,13.284742328909594,0.3,99,False,0,4334,376,77.91,19457.2
187,126.4872685185185,6,126.4872685185185,41.381092009100996,37.017279197336094,0.3,100,False,0,4356,378,83.78,19541.0
188,126.4872685185185,6,126.4872685185185,42.285332876131456,29.179188568492663,0.3,101,False,0,4378,380,77.58,19618.6
189,126.4872685185185,6,126.4872685185185,46.171670819574956,44.155534735071555,0.3,102,False,0,4406,382,107.98,19726.6
190,126.4872685185185,6,126.4872685185185,43.63994867341321,38.807355965736406,0.3,103,False,0,4428,384,80.24,19806.8
191,126.4872685185185,6,126.4872685185185,31.012789297171892,26.99100489949461,0.3,104,False,0,4450,386,72.78,19879.6
192,126.4872685185185,6,126.4872685185185,33.93640384179614,18.023116427762695,0.3,105,False,0,4472,388,85.89,19965.5
193,126.4872685185185,6,126.4872685185185,37.2320665146465,32.87432525222725,0.3,106,False,0,4494,390,84.16,20049.7
194,126.4872685185185,6,126.4872685185185,38.421029537221955,25.02510282562846,0.3,107,False,0,4522,392,119.35,20169.0
195,126.4872685185185,6,126.4872685185185,43.8638842382578,40.50162997470572,0.3,108,False,0,4544,394,90.88,20259.9
196,126.4872685185185,6,126.4872685185185,48.87594268580002,49.198221029497304,0.3,109,False,0,4566,396,96.77,20356.7
197,126.4872685185185,6,126.4872685185185,31.918180908151452,15.710682065606248,0.3,110,False,0,4588,398,78.75,20435.4
198,126.4872685185185,6,126.4872685185185,36.9920040577374,19.744685106259713,0.3,111,False,0,4610,400,84.87,20520.3
199,126.4872685185185,6,126.4872685185185,32.78149667237477,17.54801680450641,0.3,112,False,0,4638,402,108.43,20628.7
200,126.4872685185185,6,126.4872685185185,37.22267342305937,14.10708488808086,0.3,113,False,0,4660,404,75.49,20704.2
201,126.4872685185185,6,126.4872685185185,39.23944401881494,33.59519839538291,0.3,114,False,0,4682,406,72.59,20776.8
202,126.4872685185185,6,126.4872685185185,41.304737509662694,40.08397580732356,0.3,115,False,0,4704,408,86.34,20863.2
203,126.4872685185185,6,126.4872685185185,40.8818854343969,35.65931366927101,0.3,116,False,0,4726,410,83.62,20946.8
204,126.4872685185185,6,126.4872685185185,36.41623565762706,26.41043546488793,0.3,117,False,0,4754,412,103.58,21050.4
205,126.4872685185185,6,126.4872685185185,41.25069495393628,44.83998915122852,0.3,118,False,0,4776,414,87.65,21138.0
206,126.4872685185185,6,126.4872685185185,40.06227142707527,32.82800422174563,0.3,119,False,0,4798,416,86.08,21224.1
207,126.4872685185185,6,126.4872685185185,36.40902952266773,20.54423819517256,0.3,120,False,3,4820,418,73.73,21297.8
208,126.4872685185185,6,126.4872685185185,39.744536490678605,25.902296388642604,0.3,121,False,0,4842,420,70.74,21368.6
209,126.4872685185185,6,126.4872685185185,38.396353535531624,20.028445682382838,0.3,122,False,0,4870,422,102.13,21470.7
210,126.4872685185185,6,126.4872685185185,36.24005189714236,11.416570220458933,0.3,123,False,0,4892,424,73.42,21544.1
211,126.4872685185185,6,126.4872685185185,31.59128041619493,17.574875718664693,0.3,124,False,0,4914,426,77.59,21621.7
212,126.4872685185185,6,126.4872685185185,30.671526923743414,9.257750907488328,0.3,125,False,0,4936,428,80.51,21702.2
213,126.4872685185185,6,126.4872685185185,36.1952974278909,31.726072212996815,0.3,126,False,0,4958,430,79.53,21781.8
214,126.4872685185185,6,126.4872685185185,35.24433081778212,19.670601180648262,0.3,127,False,0,4986,432,101.63,21883.4
215,126.4872685185185,6,126.4872685185185,39.5471367399158,9.846112634717338,0.3,128,False,0,5008,434,82.68,21966.1
